n_measurements,time_sm,time_al
17,2.024401316069998,2.257378811016679
18,2.049871952040121,0.6101788700325415
19,2.065245670033619,0.7663524789968506
20,2.0219146750168875,0.8813470950117335
21,2.104439527960494,1.0796862760325894
22,2.117660196032375,1.3754865139489993
23,2.130774245946668,1.7580240389797837
24,2.149552376009524,2.05033718701452
25,2.160849704989232,2.4572615030920133
26,2.2036650970112532,2.644533709040843
27,2.2517664700280875,3.1222017830004916
28,2.2979119250085205,3.820727049955167
29,2.3322220989502966,4.11925941996742
30,2.4040744729572907,4.669226814992726
31,2.4854886810062453,5.531265045981854
32,2.5350840860046446,6.497156238998286
33,2.5842978140572086,6.952532446011901
34,2.6522980299778283,8.313725276035257
35,2.4037573529640213,1.5756424269638956
36,2.437375938054174,1.6939692050218582
37,2.4998905409593135,1.9986390590202063
38,2.558673301944509,2.420866116997786
39,2.582518878974952,2.7227842279244214
40,2.6219695890322328,3.1760272330138832
41,2.5986425849841908,3.850736122112721
42,2.714283259003423,4.7823987290030345
43,2.786736943991855,5.338322802912444
44,2.875883735017851,6.475030416040681
45,2.940726543078199,7.8745523219695315
46,2.997447619913146,8.329819652950391
47,3.054761218954809,8.587714221095666
48,3.1403408530168235,8.909728660946712
49,3.2511741729686037,9.254802392912097
50,3.394795431988314,9.780620609992184
51,3.488386341021396,10.628071177983657
52,3.585036981967278,6.830404379987158
53,3.6231926039326936,6.938173395930789
54,3.796204623999074,7.085873355972581
55,3.924536262988113,8.36028012004681
56,3.9281352889956906,8.961229164036922
57,4.043138033011928,9.551765242940746
58,4.103553302004002,11.015096339047886
59,4.201149782980792,11.393718680017628
60,4.321173336938955,12.307293183985166
61,4.475636302027851,12.658904818003066
62,4.595257899025455,13.817761174053885
63,4.722155733965337,14.618992159026675
64,4.896477072965354,15.637782981037162
65,5.11049519199878,15.580677425954491
66,5.220090831047855,16.23447284300346
67,5.3721367119578645,17.72771373298019
68,5.5461623900337145,19.2154350199271
69,5.484480421990156,11.96834845491685
70,5.721639004070312,12.460986041929573
71,5.949673735070974,12.928278170060366
72,5.927656688960269,13.423959749052301
73,6.106724665965885,15.072055910015479
74,6.332138543017209,15.993050707969815
75,6.550774975097738,16.78080073406454
76,6.600496436934918,17.330470327986404
77,6.940811050939374,18.522071707062423
78,7.163581361994147,19.181431186036207
79,7.3863458030391484,21.85897727892734
80,7.611636174027808,22.55327098199632
81,7.897351113031618,23.482808589935303
82,8.097699761972763,25.19994245399721
83,8.351509066065773,26.273477685987018
84,8.507016578922048,28.31277010194026
85,8.841033441014588,29.055433561094105
86,9.228516055038199,17.89153130108025
87,9.403716719010845,19.06693210999947
88,9.710496710031293,19.67965078994166
89,9.871144409989938,20.74951824801974
90,10.035531809087843,22.303575052996166
91,10.237073701107875,22.747681258944795
92,10.535587808000855,23.584273918066174
93,10.885048105963506,24.637336093001068
94,11.096083146054298,26.331032527959906
95,11.126921450952068,26.931041994015686
96,11.527786988997832,28.71887764998246
97,11.874413445941173,30.69017957802862
98,12.271899090032093,32.390141761046834
99,12.369089095969684,33.401887997053564
100,12.899656880064867,34.72308517899364
101,13.450171516975388,36.91641216503922
