n_measurements,time_sm,time_al
17,2.0116898770211264,
18,2.054170676972717,
19,2.0452543530846015,
20,2.0367304160026833,
21,2.061218702001497,
22,2.093497342080809,
23,2.102713586995378,
24,2.127867893083021,
25,2.157529015908949,
26,2.1968856079038233,
27,2.2506883499445394,
28,2.2962226249510422,
29,2.336957442923449,
30,2.39982420403976,
31,2.4358393840957433,
32,2.4838627090211958,
33,2.5426488899393007,
34,2.584688737988472,
35,2.355892998049967,
36,2.374458705075085,
37,2.437296846997924,
38,2.4843214249704033,
39,2.5405386389466003,
40,2.565551209030673,
41,2.598255503922701,
42,2.661996027920395,
43,2.729498711996712,
44,2.78120718896389,
45,2.878896128037013,
46,2.9373789199162275,
47,3.0134089689236134,
48,3.0801211890066043,
49,3.1843402880476788,
50,3.2780906530097127,
51,3.348176302970387,
52,3.4546097529819235,
53,3.5252760460134596,
54,3.6646888999966905,
55,3.785432434058748,
56,3.7953675959724933,
57,3.9087285839486867,
58,3.9706899439916015,
59,4.104146640049294,
60,4.183552723028697,
61,4.283195999916643,
62,4.497557461028919,
63,4.617853026953526,
64,4.699539166991599,
65,4.873639005003497,
66,4.957997468998656,
67,5.141708209994249,
