id,sensor,file_name,timestamp,global_timestamp,range,y,x
11,6468,/workspace/data/cape_cod_bay/acoustics/6468/6468.220324121619.wav,22391.0,2022-03-24 18:29:30,11099.19,1339.6,-7540.21
11,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,22231.0,2022-03-24 18:29:32,5882.66,1339.6,-7540.21
12,6476,/workspace/data/cape_cod_bay/acoustics/6476/6476.220324121514.wav,22916.0,2022-03-24 18:37:10,4170.24,-226.34,-77.4
12,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,22575.0,2022-03-24 18:35:16,3938.01,-226.34,-77.4
12,6468,/workspace/data/cape_cod_bay/acoustics/6468/6468.220324121619.wav,22839.0,2022-03-24 18:36:58,4506.27,-226.34,-77.4
12,6471,/workspace/data/cape_cod_bay/acoustics/6471/6471.220324121814.wav,22710.0,2022-03-24 18:36:44,3970.35,-226.34,-77.4
13,6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23311.0,2022-03-24 18:46:06,3725.71,374.06,218.45
13,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,23293.0,2022-03-24 18:47:14,5673.52,374.06,218.45
13,6471,/workspace/data/cape_cod_bay/acoustics/6471/6471.220324121814.wav,23307.0,2022-03-24 18:46:41,2622.65,374.06,218.45
13,6476,/workspace/data/cape_cod_bay/acoustics/6476/6476.220324121514.wav,23487.0,2022-03-24 18:46:41,2042.37,374.06,218.45
13,6468,/workspace/data/cape_cod_bay/acoustics/6468/6468.220324121619.wav,23440.0,2022-03-24 18:46:59,4940.53,374.06,218.45
14,6468,/workspace/data/cape_cod_bay/acoustics/6468/6468.220324121619.wav,23447.0,2022-03-24 18:47:06,2351.04,1307.29,2778.58
14,6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23337.0,2022-03-24 18:46:32,3020.91,1307.29,2778.58
14,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,23272.0,2022-03-24 18:46:53,7927.24,1307.29,2778.58
14,6471,/workspace/data/cape_cod_bay/acoustics/6471/6471.220324121814.wav,23286.0,2022-03-24 18:46:20,4882.5,1307.29,2778.58
15,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,23251.0,2022-03-24 18:46:32,4482.4,408.55,-805.21
15,6476,/workspace/data/cape_cod_bay/acoustics/6476/6476.220324121514.wav,23493.0,2022-03-24 18:46:47,3581.77,408.55,-805.21
15,6471,/workspace/data/cape_cod_bay/acoustics/6471/6471.220324121814.wav,23272.0,2022-03-24 18:46:06,5519.73,408.55,-805.21
15,6468,/workspace/data/cape_cod_bay/acoustics/6468/6468.220324121619.wav,23420.0,2022-03-24 18:46:39,5125.61,408.55,-805.21
16,6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24321.0,2022-03-24 19:02:56,4302.7,1047.62,432.95
16,6470,/workspace/data/cape_cod_bay/acoustics/6470/6470.220324121901.wav,24242.0,2022-03-24 19:03:03,8201.3,1047.62,432.95
