sensor,file_name,timestamp,range
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22332.5,6597.71
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22349.0,8815.134
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22654.0,3327.0713
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22676.5,4953.753
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22764.5,3115.7866
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22770.5,2743.8916
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22788.5,7814.232
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22800.5,8170.087
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22809.5,4952.1235
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,22821.5,7234.665
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23258.0,6198.514
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23313.5,4347.663
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23337.0,3020.9128
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23353.5,7377.1123
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23373.0,4829.314
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23388.0,7172.3804
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23398.5,3606.1892
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23700.5,6145.862
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,23832.0,5967.855
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24301.5,6737.081
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24310.5,6581.4487
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24321.0,4302.701
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24605.0,11998.843
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24834.0,4646.5283
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24864.0,4125.7983
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220324121735.wav,24883.0,6542.921
