File1,Start1,File2,Start2,File3,Start3,File4,Start4,File5,Start5
/media/markgoldwater/Elements/cape_cod_bay/acoustics/6470/6470.220410001527.wav,22858,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6468/6468.220410001244.wav,23021,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6471/6471.220410001442.wav,22903,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6474/6474.220410001344.wav,22961,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6476/6476.220410001129.wav,23096
/media/markgoldwater/Elements/cape_cod_bay/acoustics/6470/6470.220404121624.wav,30170,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6468/6468.220404121340.wav,30334,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6471/6471.220404121539.wav,30215,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6474/6474.220404121444.wav,30270,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6476/6476.220404121213.wav,30421
/media/markgoldwater/Elements/cape_cod_bay/acoustics/6470/6470.220407121553.wav,7364.5,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6468/6468.220407121309.wav,7528.5,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6471/6471.220407121505.wav,7412.5,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6474/6474.220407121412.wav,7465.5,/media/markgoldwater/Elements/cape_cod_bay/acoustics/6476/6476.220407121149.wav,7608.5
