file,start_t,end_t,fs
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220524003126.wav,15325,15335,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220523190912.wav,8492,8502,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6469/6469.220522141652.wav,29352,29362,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220523182736.wav,18380,18390,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5816/5816.220522060341.wav,36202,36212,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6468/6468.220522035550.wav,36320,36330,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220523070919.wav,10804,10814,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220524003126.wav,8491,8501,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6466/6466.220521042145.wav,19276,19286,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220522070937.wav,7176,7186,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5483/5483.220522051013.wav,41533,41543,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6477/6477.220521165206.wav,30134,30144,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6469/6469.220522141652.wav,30022,30032,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220521053013.wav,34343,34353,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6474/6474.220521054807.wav,27957,27967,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6474/6474.220523054708.wav,23006,23016,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220524052914.wav,1698,1708,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5816/5816.220525060245.wav,3970,3980,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220522172935.wav,11235,11245,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6465/6465.220524014109.wav,34525,34535,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6468/6468.220523035524.wav,6598,6608,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220522123149.wav,29428,29438,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220524033628.wav,447,457,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5783/5783.220522005248.wav,34931,34941,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5783/5783.220522005248.wav,7229,7239,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220521182831.wav,14498,14508,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220521182831.wav,31893,31903,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6470/6470.220525064313.wav,11835,11845,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220520003336.wav,22186,22196,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220523062747.wav,32752,32762,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220524190900.wav,29272,29282,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6474/6474.220523174654.wav,41702,41712,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220522062810.wav,2295,2305,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6466/6466.220524042023.wav,36396,36406,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220521153729.wav,18078,18088,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220521153729.wav,28116,28126,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220523190912.wav,5834,5844,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220522003201.wav,8197,8207,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5814/5814.220525023204.wav,7735,7745,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6468/6468.220523155511.wav,7465,7475,24000
