method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,2,0,False,False,False,1.0,0.0,0.0,,,4.547473508864641e-13,2.5579538487363607e-13,,
inf,2,0,False,False,False,1.0,4.547473508864641e-13,3.979039320256561e-13,,,0.0,3.979039320256561e-13,,
inf,2,0,False,False,False,1.0,4.547473508864641e-13,3.410605131648481e-13,,,9.094947017729282e-13,3.410605131648481e-13,,
inf,3,0,False,False,False,1.0,0.0,2.2737367544323206e-13,0.0,,4.547473508864641e-13,1.7053025658242404e-13,5.084229945850415e-13,
inf,3,0,False,False,False,1.0,0.0,4.687428401686771e-13,4.547473508864641e-13,,0.0,1.7053025658242404e-13,0.0,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,7.677181852012731e-10,2.2737367544323206e-13,,4.547473508864641e-13,7.714989863842909e-10,2.2737367544323206e-13,
inf,3,0,False,False,False,1.0,0.0,4.4210243003057924e-10,2.2737367544323206e-13,,0.0,4.267471354742059e-10,0.0,
inf,3,0,False,False,False,1.0,0.0,1.5780654501973416e-10,0.0,,0.0,2.41714900471802e-10,0.0,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,1.6729917249922117e-10,2.2737367544323206e-13,,0.0,1.448827129551355e-10,2.2737367544323206e-13,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,6.799043207137747e-11,2.2737367544323206e-13,,4.547473508864641e-13,4.7007685898754e-11,4.547473508864641e-13,
inf,3,0,False,False,False,1.0,0.0,3.839199628425171e-11,4.547473508864641e-13,,4.547473508864641e-13,3.9956354701294114e-11,4.547473508864641e-13,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,3.3310243452433497e-11,1.9426815345735873e-12,,4.547473508864641e-13,2.0660061006067563e-11,2.2850771577215914e-12,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,5.7980287238024175e-12,7.599180647534196e-12,,1.3642420526593924e-12,1.8690337408372286e-11,1.0099589560246755e-11,
inf,3,0,False,False,False,1.0,5.475883235154604e-12,1.368970808788651e-12,4.8370242532017956e-11,,3.551690349880416e-12,5.225886040789739e-12,5.358498578263036e-11,
inf,3,0,False,False,False,1.0,1.7897644878898453e-11,8.236609431460218e-12,1.785675363772689e-10,,1.5116502380437543e-11,5.708166195578629e-12,1.531087801523897e-10,
inf,3,0,False,False,False,1.0,3.6575372119110204e-11,2.654045949823001e-12,5.697608664929016e-10,,2.8413522799043327e-11,2.2850771577215914e-12,5.444723664297229e-10,
inf,3,0,False,False,False,1.0,7.606796421596655e-11,1.4380373887290168e-12,1.4959858098288128e-09,,7.021393345210084e-11,2.737941617577302e-12,1.4790683977585598e-09,
inf,3,0,False,False,False,1.0,1.3121017524973499e-10,1.1368683772161603e-12,0.0,,1.2264359852297328e-10,1.1368683772161603e-12,4.547473508864641e-13,
inf,3,0,False,False,False,1.0,1.7238763726477954e-10,1.1368683772161603e-12,0.0,,1.685665685032539e-10,4.547473508864641e-13,0.0,
inf,3,0,False,False,False,1.0,2.1865168159364185e-10,9.374856803373542e-13,4.547473508864641e-13,,2.1178731953468775e-10,5.084229945850415e-13,6.431098710768743e-13,
inf,3,0,False,False,False,1.0,2.4029643491951727e-10,5.084229945850415e-13,4.547473508864641e-13,,2.54094329632917e-10,5.084229945850415e-13,6.431098710768743e-13,
inf,3,0,False,False,False,1.0,2.2861493087439333e-10,4.547473508864641e-13,0.0,,2.284828274378345e-10,2.2737367544323206e-13,4.547473508864641e-13,
inf,3,0,False,False,False,1.0,2.1369061405540801e-10,8.198074455012805e-13,5.084229945850415e-13,,2.2390616195354481e-10,0.0,5.084229945850415e-13,
