in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
False,0.5,0,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,0,1,0,False,False,False,1.0,1.0289757937229989e-11;,1.0289757937229989e-11;
False,0.5,0,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,0,1,0,False,False,False,1.0,2.9160618472599524e-11;,2.9160618472599524e-11;
False,0.5,0,1,0,False,False,False,1.0,2.4740930728031242e-11;,2.4740930728031242e-11;
False,0.5,0,1,0,False,False,False,1.0,1.6770253673335696e-11;,1.6770253673335696e-11;
False,0.5,0,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,0,1,0,False,False,False,1.0,9.795557720525728e-12;,9.795557720525728e-12;
False,0.5,0,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,0,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,0,1,0,False,False,False,1.0,9.363821064641343e-12;,9.363821064641343e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8550124927397645e-11;,1.8550124927397645e-11;
False,0.5,0,1,0,False,False,False,1.0,1.8550124927397645e-11;,1.8550124927397645e-11;
False,0.5,0,1,0,False,False,False,1.0,7.499885442698834e-12;,7.499885442698834e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8212617209884036e-11;,1.8212617209884036e-11;
False,0.5,0,1,0,False,False,False,1.0,2.7706021158751932e-11;,2.7706021158751932e-11;
False,0.5,0,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,0,1,0,False,False,False,1.0,2.121287941861847e-11;,2.121287941861847e-11;
False,0.5,0,1,0,False,False,False,1.0,1.2732925824820995e-11;,1.2732925824820995e-11;
False,0.5,0,1,0,False,False,False,1.0,1.1823431123048067e-11;,1.1823431123048067e-11;
False,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
False,0.5,0,1,0,False,False,False,1.0,5.532240293449121e-12;,5.532240293449121e-12;
False,0.5,0,1,0,False,False,False,1.0,1.0645362554641566e-11;,1.0645362554641566e-11;
False,0.5,0,1,0,False,False,False,1.0,5.1448789686149945e-12;,5.1448789686149945e-12;
False,0.5,0,1,0,False,False,False,1.0,3.637978807091713e-12;,3.637978807091713e-12;
False,0.5,0,1,0,False,False,False,1.0,7.499885442698834e-12;,7.499885442698834e-12;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,3.749942721349417e-12;,3.749942721349417e-12;
False,0.5,0,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,0,1,0,False,False,False,1.0,3.354050734667139e-11;,3.354050734667139e-11;
False,0.5,0,1,0,False,False,False,1.0,2.4740930728031242e-11;,2.4740930728031242e-11;
False,0.5,0,1,0,False,False,False,1.0,1.9591115441051456e-11;,1.9591115441051456e-11;
False,0.5,0,1,0,False,False,False,1.0,9.668061295755842e-12;,9.668061295755842e-12;
False,0.5,0,1,0,False,False,False,1.0,5.1448789686149945e-12;,5.1448789686149945e-12;
False,0.5,0,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,0,1,0,False,False,False,1.0,6.3175521015408794e-12;,6.3175521015408794e-12;
False,0.5,0,1,0,False,False,False,1.0,3.749942721349417e-12;,3.749942721349417e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8749713606747085e-11;,1.8749713606747085e-11;
False,0.5,0,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,0,1,0,False,False,False,1.0,8.385126836667848e-12;,8.385126836667848e-12;
False,0.5,0,1,0,False,False,False,1.0,3.837162350415199e-11;,3.837162350415199e-11;
False,0.5,0,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,0,1,0,False,False,False,1.0,2.5724394843074972e-12;,2.5724394843074972e-12;
False,0.5,0,1,0,False,False,False,1.0,2.24996563280965e-11;,2.24996563280965e-11;
False,0.5,0,1,0,False,False,False,1.0,1.55414522765887e-11;,1.55414522765887e-11;
False,0.5,0,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,0,1,0,False,False,False,1.0,1.9591115441051456e-11;,1.9591115441051456e-11;
False,0.5,0,1,0,False,False,False,1.0,3.637978807091713e-12;,3.637978807091713e-12;
False,0.5,0,1,0,False,False,False,1.0,1.747082270621699e-11;,1.747082270621699e-11;
False,0.5,0,1,0,False,False,False,1.0,2.6233838256040975e-11;,2.6233838256040975e-11;
False,0.5,0,1,0,False,False,False,1.0,2.8760747774580336e-12;,2.8760747774580336e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8189894035458565e-12;,1.8189894035458565e-12;
False,0.5,0,1,0,False,False,False,1.0,2.033691978340166e-11;,2.033691978340166e-11;
False,0.5,0,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,0,1,0,False,False,False,1.0,1.626953582672133e-11;,1.626953582672133e-11;
False,0.5,0,1,0,False,False,False,1.0,7.499885442698834e-12;,7.499885442698834e-12;
False,0.5,0,1,0,False,False,False,1.0,1.1823431123048067e-11;,1.1823431123048067e-11;
False,0.5,0,1,0,False,False,False,1.0,6.1852326820078106e-12;,6.1852326820078106e-12;
False,0.5,0,1,0,False,False,False,1.0,2.300859821966427e-11;,2.300859821966427e-11;
False,0.5,0,1,0,False,False,False,1.0,1.4999770885397668e-11;,1.4999770885397668e-11;
False,0.5,0,1,0,False,False,False,1.0,9.462679393748118e-12;,9.462679393748118e-12;
False,0.5,0,1,0,False,False,False,1.0,9.094947017729282e-12;,9.094947017729282e-12;
False,0.5,0,1,0,False,False,False,1.0,3.183231456205249e-12;,3.183231456205249e-12;
False,0.5,0,1,0,False,False,False,1.0,1.543463690584498e-11;,1.543463690584498e-11;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,2.0544315699365175e-11;,2.0544315699365175e-11;
False,0.5,0,1,0,False,False,False,1.0,2.5868689869326576e-11;,2.5868689869326576e-11;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,5.532240293449121e-12;,5.532240293449121e-12;
False,0.5,0,1,0,False,False,False,1.0,1.4999770885397668e-11;,1.4999770885397668e-11;
False,0.5,0,1,0,False,False,False,1.0,1.626953582672133e-11;,1.626953582672133e-11;
False,0.5,0,1,0,False,False,False,1.0,5.275069270282984e-11;,5.275069270282984e-11;
False,0.5,0,1,0,False,False,False,1.0,4.067383956680332e-11;,4.067383956680332e-11;
False,0.5,0,1,0,False,False,False,1.0,9.094947017729282e-13;,9.094947017729282e-13;
False,0.5,0,1,0,False,False,False,1.0,7.103380699760832e-12;,7.103380699760832e-12;
False,0.5,0,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,0,1,0,False,False,False,1.0,1.4665161412810538e-11;,1.4665161412810538e-11;
False,0.5,0,1,0,False,False,False,1.0,7.332580706405269e-12;,7.332580706405269e-12;
False,0.5,0,1,0,False,False,False,1.0,2.033691978340166e-11;,2.033691978340166e-11;
False,0.5,0,1,0,False,False,False,1.0,2.033691978340166e-12;,2.033691978340166e-12;
False,0.5,0,1,0,False,False,False,1.0,1.324244274525066e-11;,1.324244274525066e-11;
False,0.5,0,1,0,False,False,False,1.0,7.77072613829435e-12;,7.77072613829435e-12;
False,0.5,0,1,0,False,False,False,1.0,5.823607568738997e-12;,5.823607568738997e-12;
False,0.5,0,1,0,False,False,False,1.0,1.8550124927397645e-11;,1.8550124927397645e-11;
