num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,2.384914323388788e-09;,1.0951766470309208e-11;
1,0,False,False,False,1.0,2.1618442267944762e-11;,2.572439484307497e-11;
1,0,False,False,False,1.0,1.3520610761878294e-11;,1.4551915228366852e-11;
1,0,False,False,False,1.0,1.3642420526593924e-12;,2.21476432887101e-11;
1,0,False,False,False,1.0,0.0;,1.124982816404825e-11;
1,0,False,False,False,1.0,7.404901217114336e-10;,1.6090603833576217e-11;
1,0,False,False,False,1.0,1.1155314937395425e-10;,1.626953582672133e-11;
1,0,False,False,False,1.0,2.1373125491663814e-11;,7.275957614183426e-12;
1,0,False,False,False,1.0,9.531921027936844e-11;,2.82383092712917e-11;
1,0,False,False,False,1.0,2.2737367544323206e-12;,3.5095183887414785e-11;
1,0,False,False,False,1.0,1.6750512343745995e-10;,1.626953582672133e-11;
1,0,False,False,False,1.0,1.5916157281026244e-12;,1.546140993013978e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,1.124982816404825e-11;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.1064480586898243e-11;
1,0,False,False,False,1.0,2.2737367544323206e-12;,2.8413522799043327e-11;
1,0,False,False,False,1.0,1.7286202371550182e-10;,1.129568986323122e-11;
1,0,False,False,False,1.0,4.547473508864641e-13;,3.749942721349417e-12;
1,0,False,False,False,1.0,0.0;,5.4569682106375694e-12;
1,0,False,False,False,1.0,3.226516777184374e-10;,5.4569682106375694e-12;
1,0,False,False,False,1.0,1.3926637620897964e-12;,1.124982816404825e-11;
1,0,False,False,False,1.0,8.185452315956354e-12;,5.1968689611973435e-11;
1,0,False,False,False,1.0,4.067383956680332e-12;,2.2128961173796485e-11;
1,0,False,False,False,1.0,1.0423936169459486e-10;,1.1823431123048067e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,2.2791871899501835e-11;
1,0,False,False,False,1.0,2.24996563280965e-10;,7.275957614183426e-12;
1,0,False,False,False,1.0,2.5724394843074972e-12;,1.8550124927397645e-11;
1,0,False,False,False,1.0,4.6303910717534946e-11;,1.124982816404825e-11;
1,0,False,False,False,1.0,0.0;,2.9330322825621076e-11;
1,0,False,False,False,1.0,0.0;,1.9591115441051456e-11;
1,0,False,False,False,1.0,2.5286569824780316e-11;,1.9591115441051456e-11;
