in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,3.0212691549237007e-13;,3.0212691549237007e-13;
True,inf,0,1,0,False,False,False,1.0,5.084229945850415e-13;,5.084229945850415e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,5.697967974875459e-12;,5.697967974875459e-12;
True,inf,0,1,0,False,False,False,1.0,4.5315215569160676e-10;,4.5315215569160676e-10;
True,inf,0,1,0,False,False,False,1.0,2.4868995751603507e-13;,2.4868995751603507e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,9.165725883006586e-13;,1.639614891002561e-12;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,2.5421149729252077e-13;,2.5421149729252077e-13;
True,inf,0,1,0,False,False,False,1.0,1.8331451766013172e-12;,1.8331451766013172e-12;
True,inf,0,1,0,False,False,False,1.0,7.823769253302659e-12;,7.823769253302659e-12;
True,inf,0,1,0,False,False,False,1.0,3.2155493553843715e-13;,3.2155493553843715e-13;
True,inf,0,1,0,False,False,False,1.0,5.684341886080802e-14;,5.684341886080802e-14;
True,inf,0,1,0,False,False,False,1.0,1.2505552149377763e-12;,4.323464252094349e-12;
True,inf,0,1,0,False,False,False,1.0,2.0870129163410888e-12;,2.0870129163410888e-12;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,3.934225786131035e-12;,3.934225786131035e-12;
True,inf,0,1,0,False,False,False,1.0,1.1368683772161603e-13;,1.1368683772161603e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,1.9672778029189375e-10;,1.9672778029189375e-10;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,1.016845989170083e-12;,1.016845989170083e-12;
True,inf,0,1,0,False,False,False,1.0,5.684341886080801e-13;,5.684341886080801e-13;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,1,0,False,False,False,1.0,8.198074455012805e-13;,8.198074455012805e-13;
True,inf,0,1,0,False,False,False,1.0,2.082425115414537e-11;,2.082425115414537e-11;
True,inf,0,1,0,False,False,False,1.0,9.165725883006586e-13;,9.165725883006586e-13;
True,inf,0,1,0,False,False,False,1.0,4.1897458489216255e-11;,4.1897458489216255e-11;
True,inf,0,1,0,False,False,False,1.0,2.2737367544323206e-13;,2.2737367544323206e-13;
True,inf,0,1,0,False,False,False,1.0,4.547473508864641e-13;,4.547473508864641e-13;
True,inf,0,1,0,False,False,False,1.0,7.105427357601002e-14;,7.105427357601002e-14;
True,inf,0,1,0,False,False,False,1.0,0.0;,0.0;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;1.8749713606747085e-11;,1.1368683772161603e-13;8.458455440023804e-12;
True,inf,0,2,0,False,False,False,1.0,3.3379479727656838e-12;3.4311584149031896e-11;,2.5325641001865577e-12;4.247690797517272e-11;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;4.547473508864641e-13;,4.547473508864641e-13;9.094947017729282e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,4.547473508864641e-13;0.0;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;3.1934924115609293e-13;,4.547473508864641e-13;5.859285502108464e-14;
True,inf,0,2,0,False,False,False,1.0,5.084229945850415e-13;1.4782246925143206e-11;,2.2737367544323206e-13;9.710912470273478e-12;
True,inf,0,2,0,False,False,False,1.0,8.112366457126976e-11;4.547473508864641e-13;,1.0114627929912126e-10;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;9.374856803373542e-13;,0.0;9.374856803373542e-13;
True,inf,0,2,0,False,False,False,1.0,1.639614891002561e-12;4.547473508864641e-13;,1.3642420526593924e-12;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;1.1368683772161603e-13;,1.1368683772161603e-12;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,6.535978805983472e-10;2.2737367544323206e-13;,5.723641722702111e-10;5.084229945850415e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;3.858659226461245e-12;,9.094947017729282e-13;3.858659226461245e-12;
True,inf,0,2,0,False,False,False,1.0,1.2085076619694803e-12;6.232496181683485e-10;,1.5463081705019526e-12;6.04880304610491e-10;
True,inf,0,2,0,False,False,False,1.0,2.033691978340166e-12;2.2737367544323206e-13;,4.547473508864641e-12;9.374856803373542e-13;
True,inf,0,2,0,False,False,False,1.0,3.942968036624256e-12;2.2737367544323206e-13;,6.923953679764308e-12;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,1.0150649489128097e-11;5.861847905303282e-11;,9.275062463698822e-12;2.4432505583132962e-11;
