in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,3.1767284229450486e-11;,3.1767284229450486e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,6,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,2.121287941861847e-11;,2.121287941861847e-11;
False,0.5,6,1,0,False,False,False,1.0,1.22359997904584e-11;,1.22359997904584e-11;
False,0.5,6,1,0,False,False,False,1.0,1.669610333072871e-11;,1.669610333072871e-11;
False,0.5,6,1,0,False,False,False,1.0,8.134767913360665e-12;,8.134767913360665e-12;
False,0.5,6,1,0,False,False,False,1.0,2.2810011076188772e-11;,2.2810011076188772e-11;
False,0.5,6,1,0,False,False,False,1.0,5.752149554916067e-11;,5.752149554916067e-11;
False,0.5,6,1,0,False,False,False,1.0,2.300859821966427e-11;,2.300859821966427e-11;
False,0.5,6,1,0,False,False,False,1.0,2.5724394843074972e-12;,2.5724394843074972e-12;
False,0.5,6,1,0,False,False,False,1.0,4.918844673007683e-12;,4.918844673007683e-12;
False,0.5,6,1,0,False,False,False,1.0,8.385126836667848e-12;,8.385126836667848e-12;
False,0.5,6,1,0,False,False,False,1.0,3.637978807091713e-12;,3.637978807091713e-12;
False,0.5,6,1,0,False,False,False,1.0,2.7284841053187847e-12;,2.7284841053187847e-12;
False,0.5,6,1,0,False,False,False,1.0,1.2370465364015621e-11;,1.2370465364015621e-11;
False,0.5,6,1,0,False,False,False,1.0,4.897778860262864e-12;,4.897778860262864e-12;
False,0.5,6,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,6,1,0,False,False,False,1.0,4.067383956680332e-12;,4.067383956680332e-12;
False,0.5,6,1,0,False,False,False,1.0,2.5221060466468857e-11;,2.5221060466468857e-11;
False,0.5,6,1,0,False,False,False,1.0,6.962239861970243e-11;,6.962239861970243e-11;
False,0.5,6,1,0,False,False,False,1.0,9.495403454739563e-12;,9.495403454739563e-12;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-12;,1.8189894035458565e-12;
False,0.5,6,1,0,False,False,False,1.0,8.580155856231252e-12;,8.580155856231252e-12;
False,0.5,6,1,0,False,False,False,1.0,1.2202151870040997e-11;,1.2202151870040997e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,6,1,0,False,False,False,1.0,3.1767284229450486e-11;,3.1767284229450486e-11;
False,0.5,6,1,0,False,False,False,1.0,5.303219854654618e-12;,5.303219854654618e-12;
False,0.5,6,1,0,False,False,False,1.0,2.2128961173796485e-11;,2.2128961173796485e-11;
False,0.5,6,1,0,False,False,False,1.0,5.823607568738997e-12;,5.823607568738997e-12;
False,0.5,6,1,0,False,False,False,1.0,1.3021982397982677e-11;,1.3021982397982677e-11;
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,1.3853010579375966e-11;,1.3853010579375966e-11;
False,0.5,6,1,0,False,False,False,1.0,6.1852326820078106e-12;,6.1852326820078106e-12;
False,0.5,6,1,0,False,False,False,1.0,1.324244274525066e-11;,1.324244274525066e-11;
False,0.5,6,1,0,False,False,False,1.0,4.897778860262864e-12;,4.897778860262864e-12;
False,0.5,6,1,0,False,False,False,1.0,5.752149554916067e-12;,5.752149554916067e-12;
False,0.5,6,1,0,False,False,False,1.0,3.637978807091713e-12;,3.637978807091713e-12;
False,0.5,6,1,0,False,False,False,1.0,1.2862197421537486e-11;,1.2862197421537486e-11;
False,0.5,6,1,0,False,False,False,1.0,1.4665161412810538e-11;,1.4665161412810538e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-11;,1.8189894035458565e-11;
False,0.5,6,1,0,False,False,False,1.0,1.2635104203081759e-11;,1.2635104203081759e-11;
False,0.5,6,1,0,False,False,False,1.0,1.543463690584498e-11;,1.543463690584498e-11;
False,0.5,6,1,0,False,False,False,1.0,3.749942721349417e-12;,3.749942721349417e-12;
False,0.5,6,1,0,False,False,False,1.0,6.558459564010244e-12;,6.558459564010244e-12;
False,0.5,6,1,0,False,False,False,1.0,1.0606439709309235e-11;,1.0606439709309235e-11;
False,0.5,6,1,0,False,False,False,1.0,1.8189894035458565e-12;,1.8189894035458565e-12;
False,0.5,6,1,0,False,False,False,1.0,2.121287941861847e-11;,2.121287941861847e-11;
False,0.5,6,1,0,False,False,False,1.0,1.4665161412810538e-11;,1.4665161412810538e-11;
False,0.5,6,1,0,False,False,False,1.0,1.1101797659406386e-11;,1.1101797659406386e-11;
False,0.5,6,1,0,False,False,False,1.0,7.275957614183426e-12;,7.275957614183426e-12;
False,0.5,6,1,0,False,False,False,1.0,1.1504299109832135e-11;,1.1504299109832135e-11;
False,0.5,6,1,0,False,False,False,1.0,7.499885442698834e-12;,7.499885442698834e-12;
False,0.5,6,1,0,False,False,False,1.0,4.547473508864641e-12;,4.547473508864641e-12;
False,0.5,6,1,0,False,False,False,1.0,1.7914967978497052e-10;,1.7914967978497052e-10;
False,0.5,6,1,0,False,False,False,1.0,1.5647538506605318e-11;,1.5647538506605318e-11;
False,0.5,6,1,0,False,False,False,1.0,1.626953582672133e-11;,1.626953582672133e-11;
False,0.5,6,1,0,False,False,False,1.0,1.543463690584498e-11;,1.543463690584498e-11;
False,0.5,6,1,0,False,False,False,1.0,5.1448789686149945e-12;,5.1448789686149945e-12;
False,0.5,6,1,0,False,False,False,1.0,1.2862197421537486e-11;,1.2862197421537486e-11;
False,0.5,6,1,0,False,False,False,1.0,1.626953582672133e-11;,1.626953582672133e-11;
