num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,2.384914323388788e-09;,1.0951766470309208e-11;
1,0,False,False,False,1.0,8.117290515612583e-09;,5.532240293449121e-12;
1,0,False,False,False,1.0,2.7284841053187847e-12;,2.9118037843694986e-11;
1,0,False,False,False,1.0,10052.268405104154;,3.906594719394803e-11;
1,0,False,False,False,1.0,1.3642420526593924e-12;,2.21476432887101e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,7.404901217114336e-10;,1.6090603833576217e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,4.067383956680332e-12;,6.366462912410498e-12;
1,0,False,False,False,1.0,2.033691978340166e-12;,1.3116919128020487e-11;
1,0,False,False,False,1.0,5.475883235154604e-12;,1.524590935718171e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,1.5916157281026244e-12;,1.546140993013978e-11;
1,0,False,False,False,1.0,4.720838236342138e-11;,2.2614252446430975e-11;
1,0,False,False,False,1.0,0.0;,1.1064480586898243e-11;
1,0,False,False,False,1.0,2.2737367544323206e-12;,2.8413522799043327e-11;
1,0,False,False,False,1.0,2.033691978340166e-12;,9.079016909385576e-11;
1,0,False,False,False,1.0,20166.899754909824;,6.3175521015408794e-12;
1,0,False,False,False,1.0,7.6505751512061e-11;,4.067383956680332e-12;
1,0,False,False,False,1.0,3.226516777184374e-10;,5.4569682106375694e-12;
1,0,False,False,False,1.0,1.6859758034115657e-10;,4.547473508864641e-12;
1,0,False,False,False,1.0,3.230691097767489e-10;,1.19780832042244e-10;
1,0,False,False,False,1.0,8.185452315956354e-12;,5.1968689611973435e-11;
1,0,False,False,False,1.0,6.558459564010244e-12;,0.0;
1,0,False,False,False,1.0,1.8749713606747085e-12;,1.4559018921847493e-11;
1,0,False,False,False,1.0,1.6678273692958003e-09;,5.878038294051849e-11;
1,0,False,False,False,1.0,2.24996563280965e-10;,7.275957614183426e-12;
1,0,False,False,False,1.0,2.5724394843074972e-12;,1.8550124927397645e-11;
1,0,False,False,False,1.0,4.6303910717534946e-11;,1.124982816404825e-11;
1,0,False,False,False,1.0,0.0;,2.9330322825621076e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,5.823607568738997e-11;
1,0,False,False,False,1.0,10942.973926745279;,2.8017751539208553e-11;
1,0,False,False,False,1.0,0.0;,1.626953582672133e-11;
1,0,False,False,False,1.0,0.0;,6.558459564010244e-12;
1,0,False,False,False,1.0,9.134877130774635e-11;,1.1504299109832135e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,9.275062463698822e-12;
1,0,False,False,False,1.0,2.9118037843694986e-12;,7.77072613829435e-12;
1,0,False,False,False,1.0,1.4551915228366852e-11;,1.4999770885397668e-11;
1,0,False,False,False,1.0,1.7957514500522883e-09;,8.957483989248525e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.4551915228366852e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,2.5530732905496186e-11;
1,0,False,False,False,1.0,20895.55430660953;,8.733043712096553e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.016845989170083e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.0913936421275139e-11;
1,0,False,False,False,1.0,0.0;,3.4608633705721234e-11;
1,0,False,False,False,1.0,20563.910238864806;,7.103380699760832e-11;
1,0,False,False,False,1.0,3.001332515850663e-11;,7.332580706405269e-12;
1,0,False,False,False,1.0,2.1154307159327815e-11;,3.637978807091713e-12;
1,0,False,False,False,1.0,9.796722984807607e-10;,1.2202151870040997e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,3.749942721349417e-12;,1.1647215137477994e-11;
1,0,False,False,False,1.0,5.911190829754295e-11;,3.4811199309851215e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,1.8550124927397645e-11;
1,0,False,False,False,1.0,3.637978807091713e-12;,1.4999770885397668e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,0.0;,1.8189894035458565e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,2.5724394843074972e-12;
1,0,False,False,False,1.0,2.2737367544323206e-13;,1.0606439709309235e-11;
1,0,False,False,False,1.0,1.4798375967326662e-10;,4.547473508864641e-12;
1,0,False,False,False,1.0,5.1448789686149945e-12;,4.3655745685100555e-11;
1,0,False,False,False,1.0,0.0;,1.8189894035458565e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,4.067383956680332e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,3.279229782005122e-12;
1,0,False,False,False,1.0,0.0;,1.8990806909479126e-11;
1,0,False,False,False,1.0,5.029637271553781e-10;,1.22359997904584e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,5.363158465143947e-10;,6.558459564010244e-12;
1,0,False,False,False,1.0,2.8296834327382467e-11;,2.2810011076188772e-11;
1,0,,True,False,,,
1,0,,True,False,,,
1,0,False,False,False,1.0,4.547473508864641e-13;,2.5724394843074972e-12;
1,0,False,False,False,1.0,5.084229945850415e-13;,3.2155493553843714e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,8.385126836667848e-12;
1,0,False,False,False,1.0,2.2737367544323206e-13;,5.1448789686149945e-12;
1,0,False,False,False,1.0,2.1288600301559547e-11;,9.668061295755842e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.2370465364015621e-11;
1,0,False,False,False,1.0,2.8760747774580336e-12;,3.749942721349417e-12;
1,0,False,False,False,1.0,3.637978807091713e-12;,1.8189894035458565e-11;
1,0,False,False,False,1.0,0.0;,1.8189894035458565e-11;
1,0,False,False,False,1.0,2.2737367544323206e-12;,2.5221060466468857e-11;
1,0,False,False,False,1.0,1.4551915228366852e-11;,1.1301180760353648e-10;
1,0,False,False,False,1.0,3.279229782005122e-12;,9.495403454739563e-12;
1,0,False,False,False,1.0,4.067383956680332e-12;,1.0989466294262977e-11;
1,0,False,False,False,1.0,2.361739735822792e-12;,1.000444171950221e-11;
1,0,False,False,False,1.0,9.208129689648195e-10;,1.8550124927397645e-11;
1,0,False,False,False,1.0,7.409033229818199e-10;,7.546066085593899e-11;
1,0,False,False,False,1.0,0.0;,5.426567036984597e-11;
1,0,False,False,False,1.0,1.2862197421537486e-12;,3.279229782005122e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.9591115441051456e-11;
1,0,False,False,False,1.0,1.5218278915043804e-09;,9.094947017729282e-12;
1,0,False,False,False,1.0,5.81856135707348e-09;,3.749942721349417e-12;
1,0,False,False,False,1.0,2.033691978340166e-12;,8.829596408280667e-12;
1,0,False,False,False,1.0,0.0;,8.134767913360665e-12;
1,0,False,False,False,1.0,2.033691978340166e-12;,6.1010759350204984e-12;
1,0,False,False,False,1.0,0.0;,1.8749713606747085e-11;
