k,consistency_thresh,method_thresh,prune,max_time_offset,std,success_rate,theta,theta_hat,num_OOB,best_theta_hat
4,2,0.95,False,0,0,True,-9.548413087883795,-9.548413087883777,0,-9.548413087883777
4,2,0.95,False,0,0,True,-15.930714902677737,-15.930714902677712,0,-15.930714902677712
4,2,0.95,False,0,0,True,38.99497626985409,38.994976269854085,0,38.994976269854085
4,2,0.95,False,0,0,True,-89.46575789025682,-89.46575789025684,0,-89.46575789025684
4,2,0.95,False,0,0,True,-22.32842543072975,-22.328425430729716,0,-22.328425430729716
4,2,0.95,False,0,0,True,-38.270466628280296,-38.27046662828031,0,-38.27046662828031
4,2,0.95,False,0,0,True,-73.63497985089347,-73.63497985089344,0,-73.63497985089344
4,2,0.95,False,0,0,True,-59.45940433917235,-59.459404339172345,0,-59.459404339172345
4,2,0.95,False,0,0,True,-74.97070141852998,-74.97070141852998,0,-74.97070141852998
4,2,0.95,False,0,0,True,17.55581711039275,17.555817110392752,0,17.555817110392752
4,2,0.95,False,0,0,True,12.511412514897293,12.51141251489729,0,12.51141251489729
4,2,0.95,False,0,0,True,33.144755310077564,33.14475531007756,0,33.14475531007756
4,2,0.95,False,0,0,True,51.932322475815766,51.93232247581576,0,51.93232247581576
4,2,0.95,False,0,0,True,32.24334149432717,32.243341494327154,0,32.243341494327154
4,2,0.95,False,0,0,True,51.00250651689486,51.002506516894854,0,51.002506516894854
4,2,0.95,False,0,0,True,-18.85406918127865,-18.854069181278632,0,-18.854069181278632
4,2,0.95,False,0,0,True,13.419774303718143,13.41977430371815,0,13.41977430371815
4,2,0.95,False,0,0,True,-14.048226861538943,-14.04822686153895,0,-14.04822686153895
4,2,0.95,False,0,0,True,45.57932932539269,45.57932932539267,0,45.57932932539267
4,2,0.95,False,0,0,True,-48.68770758227209,-48.68770758227206,0,-48.68770758227206
4,2,0.95,False,0,0,True,36.75065877792187,36.75065877792185,0,36.75065877792185
4,2,0.95,False,0,0,True,86.81446903047335,86.81446903047336,0,86.81446903047336
4,2,0.95,False,0,0,True,-34.12378570910539,-34.12378570910539,0,-34.12378570910539
4,2,0.95,False,0,0,True,30.00208492984247,30.00208492984249,0,30.00208492984249
4,2,0.95,False,0,0,True,56.739595080263676,56.739595080263676,0,56.739595080263676
4,2,0.95,False,0,0,True,-39.41314434424783,-39.41314434424782,0,-39.41314434424782
4,2,0.95,False,0,0,True,60.72330089988856,60.72330089988853,0,60.72330089988853
4,2,0.95,False,0,0,True,-59.76908882477156,-59.76908882477154,0,-59.76908882477154
4,2,0.95,False,0,0,True,-72.0443123283903,-72.0443123283903,0,-72.0443123283903
4,2,0.95,False,0,0,True,36.092962761662996,36.09296276166301,0,36.09296276166301
4,2,0.95,False,0,0,True,-11.154798970107741,-11.154798970107702,0,-11.154798970107702
4,2,0.95,False,0,0,True,-20.70467695824124,-20.704676958241237,0,-20.704676958241237
4,2,0.95,False,0,0,True,-49.09645819343159,-49.09645819343156,0,-49.09645819343156
4,2,0.95,False,0,0,True,89.32542044860539,89.32542044860539,0,89.32542044860539
4,2,0.95,False,0,0,True,-80.1117806068344,-80.11178060683439,0,-80.11178060683439
4,2,0.95,False,0,0,True,23.854403498173607,23.854403498173603,0,23.854403498173603
4,2,0.95,False,0,0,True,28.230139615680407,28.23013961568039,0,28.23013961568039
4,2,0.95,False,0,0,True,-10.204500305349656,-10.204500305349631,0,-10.204500305349631
4,2,0.95,False,0,0,True,10.183564938712067,10.183564938712086,0,10.183564938712086
4,2,0.95,False,0,0,True,-85.1541405605065,-85.1541405605065,0,-85.1541405605065
4,2,0.95,False,0,0,True,80.34568097724393,80.34568097724389,0,80.34568097724389
4,2,0.95,False,0,0,True,-31.98158751006667,-31.981587510066653,0,-31.981587510066653
4,2,0.95,False,0,0,True,-15.173233707719698,-15.173233707719701,0,-15.173233707719701
4,2,0.95,False,0,0,True,-66.86297349825003,-66.86297349825003,0,-66.86297349825003
4,2,0.95,False,0,0,True,-69.8403381134394,-69.84033811343942,0,-69.84033811343942
4,2,0.95,False,0,0,True,21.848939914965875,21.848939914965875,0,21.848939914965875
4,2,0.95,False,0,0,True,-26.08334490918705,-26.083344909187023,0,-26.083344909187023
4,2,0.95,False,0,0,True,-32.08623450467538,-32.08623450467537,0,-32.08623450467537
4,2,0.95,False,0,0,True,-52.86136407099418,-52.86136407099418,0,-52.86136407099418
4,2,0.95,False,0,0,True,42.29469229780462,42.294692297804616,0,42.294692297804616
4,2,0.95,False,0,0,True,80.18605859248551,80.1860585924855,0,80.1860585924855
4,2,0.95,False,0,0,True,-34.179102210154404,-34.179102210154376,0,-34.179102210154376
4,2,0.95,False,0,0,True,-88.67655394550414,-88.67655394550412,0,-88.67655394550412
4,2,0.95,False,0,0,True,42.17071962463271,42.17071962463266,0,42.17071962463266
4,2,0.95,False,0,0,True,76.99603840008717,76.99603840008713,0,76.99603840008713
4,2,0.95,False,0,0,True,63.913111379285006,63.91311137928498,0,63.91311137928498
4,2,0.95,False,0,0,True,-74.35212208146501,-74.35212208146503,0,-74.35212208146503
4,2,0.95,False,0,0,True,14.18042394346946,14.18042394346948,0,14.18042394346948
4,2,0.95,False,0,0,True,85.8576474090712,85.8576474090712,0,85.8576474090712
4,2,0.95,False,0,0,True,26.273786113780393,26.273786113780446,0,26.273786113780446
4,2,0.95,False,0,0,True,-57.99829880500476,-57.99829880500476,0,-57.99829880500476
4,2,0.95,False,0,0,True,53.06204645669167,53.06204645669166,0,53.06204645669166
4,2,0.95,False,0,0,True,24.7780026563821,24.77800265638209,0,24.77800265638209
4,2,0.95,False,0,0,True,71.57416117780772,71.5741611778077,0,71.5741611778077
4,2,0.95,False,0,0,True,-43.64321669828487,-43.64321669828491,0,-43.64321669828491
4,2,0.95,False,0,0,True,-73.98083548825655,-73.98083548825653,0,-73.98083548825653
4,2,0.95,False,0,0,True,74.55374534066763,74.55374534066759,0,74.55374534066759
