method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,1,4.666868921292007e-11,4.750550795154396e-10,1.58795829731868e-11,0.0,4.415500768641634e-11,3.0188589319194535e-10,8.5126645036204e-12,0.0
inf,4,0,False,False,False,1.0,1,4.849935394897587e-10,7.105427357601002e-14,1.1597002361283834e-10,0.0,4.891663374273037e-10,7.105427357601002e-14,8.030332101203313e-11,0.0
inf,4,0,False,False,False,1.0,1,1.8749713606747085e-12,5.826450433232822e-13,4.602649920770331e-13,4.547473508864641e-13,1.8189894035458565e-12,7.531752999057062e-13,1.7195134205394424e-12,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1,2.01672631593315e-10,2.1316282072803006e-13,2.682051773112694e-12,4.547473508864641e-13,1.970378868272026e-10,4.723906993886732e-13,8.436030657126042e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1,8.585095254568009e-11,1.8474111129762605e-13,4.405364961712621e-13,4.547473508864641e-13,9.06636671555512e-11,2.6290081223123707e-13,5.600230819947578e-13,0.0
inf,4,0,False,False,False,1.0,1,0.0,5.684341886080801e-13,1.4184407294321327e-10,4.547473508864641e-13,0.0,5.600230819947578e-13,1.1110052033014559e-10,0.0
inf,4,0,False,False,False,1.0,1,0.0,2.4158453015843406e-13,9.668061295755842e-12,0.0,9.094947017729282e-13,4.121147867408581e-13,1.6679935861017278e-11,0.0
inf,4,0,False,False,False,1.0,1,0.0,4.556346636343676e-13,2.6382833551598148e-11,0.0,0.0,4.582862941503293e-13,1.0442029288716525e-11,0.0
inf,4,0,False,False,False,1.0,1,9.094947017729282e-13,3.410605131648481e-13,3.1268516514831395e-10,4.547473508864641e-13,0.0,4.556346636343676e-13,1.7502471973043563e-10,0.0
inf,4,0,False,False,False,1.0,1,0.0,3.979039320256561e-13,6.206474270015705e-11,0.0,0.0,8.198074455012805e-13,5.550334892369689e-11,0.0
inf,4,0,False,False,False,1.0,1,0.0,2.8421709430404007e-13,1.3642538949869229e-11,6.510991198991339e-12,0.0,1.7053025658242404e-13,3.399692685503778e-12,5.475883235154604e-12
