method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,2,0,False,False,False,1.0,2.2737367544323206e-13,0.0,,,2.2737367544323206e-13,4.547473508864641e-13,,
inf,2,0,False,False,False,1.0,4.547473508864641e-13,0.0,,,2.2737367544323206e-13,0.0,,
inf,2,0,False,False,False,1.0,0.0,4.547473508864641e-13,,,4.547473508864641e-13,0.0,,
inf,2,0,False,False,False,1.0,0.0,0.0,,,2.2737367544323206e-13,0.0,,
inf,2,0,False,False,False,1.0,2.2737367544323206e-13,4.547473508864641e-13,,,2.2737367544323206e-13,0.0,,
inf,2,0,False,False,False,1.0,2.2737367544323206e-13,0.0,,,2.2737367544323206e-13,0.0,,
inf,2,0,False,False,False,1.0,0.0,2.2737367544323206e-13,,,1.016845989170083e-12,0.0,,
inf,2,0,False,False,False,1.0,4.547473508864641e-13,0.0,,,2.2737367544323206e-13,9.094947017729282e-13,,
inf,2,0,False,False,False,1.0,6.821210263296962e-13,2.2737367544323206e-13,,,0.0,2.2737367544323206e-13,,
inf,2,0,False,False,False,1.0,0.0,9.374856803373542e-13,,,0.0,0.0,,
inf,2,0,False,False,False,1.0,4.547473508864641e-13,2.2737367544323206e-13,,,4.547473508864641e-13,2.2737367544323206e-13,,
inf,2,0,False,False,False,1.0,0.0,0.0,,,0.0,2.2737367544323206e-13,,
inf,2,0,False,False,False,1.0,0.0,2.2737367544323206e-13,,,4.547473508864641e-13,4.547473508864641e-13,,
inf,3,0,False,False,False,1.0,0.0,0.0,3.595093471822542e-13,,0.0,0.0,2.2737367544323206e-13,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,0.0,5.084229945850415e-13,,4.547473508864641e-13,0.0,3.2155493553843715e-13,
inf,3,0,False,False,False,1.0,0.0,2.2737367544323206e-13,5.684341886080801e-13,,0.0,0.0,3.410605131648481e-13,
inf,3,0,False,False,False,1.0,0.0,2.2737367544323206e-13,3.2155493553843715e-13,,0.0,2.2737367544323206e-13,4.0990372275064023e-13,
inf,3,0,False,False,False,1.0,0.0,2.2737367544323206e-13,2.5421149729252077e-13,,0.0,4.547473508864641e-13,0.0,
inf,3,0,False,False,False,1.0,0.0,2.2737367544323206e-13,4.687428401686771e-13,,4.547473508864641e-13,2.2737367544323206e-13,5.084229945850415e-13,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,2.2737367544323206e-13,2.5421149729252077e-13,,4.547473508864641e-13,0.0,2.5421149729252077e-13,
inf,3,0,False,False,False,1.0,0.0,0.0,2.2737367544323206e-13,,6.431098710768743e-13,0.0,1.1368683772161603e-13,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,7.909404346134444e-10,1.7053025658242404e-13,,0.0,1.0789379960278847e-09,1.1368683772161603e-13,
inf,3,0,False,False,False,1.0,0.0,2.740569724308992e-10,2.1397602523300873e-12,,0.0,2.533739651575144e-10,1.2151735021707253e-12,
inf,3,0,False,False,False,1.0,0.0,2.678574809112236e-10,7.423672158126696e-12,,4.547473508864641e-13,2.600725504697651e-10,3.4886163534862846e-11,
inf,3,0,False,False,False,1.0,0.0,3.6092188858533356e-10,1.2546084292497733e-10,,0.0,3.540719205922234e-10,1.453963653253655e-10,
inf,3,0,False,False,False,1.0,6.431098710768743e-13,2.6061529120392957e-10,6.003192532675821e-10,,0.0,2.8475030835625534e-10,4.654694880055471e-10,
inf,3,0,False,False,False,1.0,4.547473508864641e-13,2.8324465882550943e-10,6.252776074688882e-13,,1.016845989170083e-12,2.6705386643937106e-10,3.639754730461873e-13,
inf,3,0,False,False,False,1.0,0.0,2.3426783259796954e-10,5.598427493280328e-13,,9.094947017729282e-13,2.1180062295378393e-10,3.639754730461873e-13,
inf,4,0,False,False,False,1.0,4.547473508864641e-13,8.142652592746338e-11,4.687428401686771e-13,0.0,4.547473508864641e-13,8.507452770056462e-11,0.0,0.0
inf,4,0,False,False,False,1.0,9.094947017729282e-13,2.9869147785411037e-11,1.7053025658242404e-13,0.0,4.547473508864641e-13,3.3046712449548365e-11,2.8421709430404007e-13,0.0
inf,4,0,False,False,False,1.0,0.0,6.855231473164774e-12,3.979039320256561e-13,0.0,6.431098710768743e-13,2.6947617797164563e-11,3.979039320256561e-13,0.0
inf,4,0,False,False,False,1.0,6.431098710768743e-13,9.901203325081498e-12,5.684341886080802e-14,0.0,1.4380373887290168e-12,2.8421709430404007e-12,5.362597410144533e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,1.016845989170083e-12,9.374856803373542e-13,4.831690603168681e-13,0.0,1.016845989170083e-12,4.759936340510267e-12,3.979039320256561e-13,0.0
inf,4,0,False,False,False,1.0,1.3642420526593924e-12,2.2393709973121313e-12,5.684341886080802e-14,0.0,1.8189894035458565e-12,1.2862197421537486e-12,4.556346636343676e-13,0.0
inf,4,0,False,False,False,1.0,2.9118037843694986e-12,9.165725883006586e-13,1.4210854715202004e-13,4.547473508864641e-13,3.551690349880416e-12,8.198074455012805e-13,5.684341886080802e-14,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3.4632526448439915e-12,5.684341886080801e-13,2.842170943040401e-14,0.0,3.2155493553843714e-12,1.1368683772161603e-13,6.252776074688882e-13,0.0
inf,4,0,False,False,False,1.0,6.62122137262533e-12,2.2737367544323206e-13,5.217532290852722e-13,0.0,5.1849175410968106e-12,4.582862941503293e-13,9.374856803373542e-13,0.0
inf,4,0,False,False,False,1.0,9.763839695362498e-12,5.684341886080802e-14,8.384404281969182e-13,4.547473508864641e-13,7.941821057362622e-12,1.7053025658242404e-13,6.844854043943255e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,1.337452083121456e-11,3.979039320256561e-13,7.105427357601002e-14,4.547473508864641e-13,1.4452096895248091e-11,1.7053025658242404e-13,1.9301668142304205e-12,0.0
inf,4,0,False,False,False,1.0,1.9727860456881775e-11,1.1368683772161603e-13,2.0037305148434825e-12,4.547473508864641e-13,2.2301173585654813e-11,4.856703836433968e-13,9.165725883006586e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,4.0064248135453014e-11,0.0,1.3649080239232024e-12,0.0,4.4166714611267813e-11,1.1368683772161603e-13,8.920070983137529e-13,0.0
inf,4,0,False,False,False,1.0,7.349482566801061e-11,4.582862941503293e-13,3.5606929948239924e-12,4.547473508864641e-13,8.100759590641057e-11,5.518497755175417e-13,1.4601653219870059e-12,0.0
inf,4,0,False,False,False,1.0,1.1096208099099357e-10,1.9895196601282805e-13,2.0120682887476257e-11,0.0,1.0939107976200973e-10,1.9895196601282805e-13,8.706889879084056e-12,0.0
inf,4,0,False,False,False,1.0,1.2787702502623683e-10,6.233367514443361e-13,7.815146466339702e-12,0.0,1.3230647345462847e-10,4.556346636343676e-13,1.1347403083908279e-12,0.0
inf,4,0,False,False,False,1.0,1.349435467145261e-10,5.217532290852722e-13,3.730180182062295e-12,9.094947017729282e-13,1.075407780298107e-10,3.694822225952521e-13,1.4495071809506044e-12,0.0
inf,4,0,False,False,False,1.0,9.031057988836553e-11,7.815970093361102e-13,6.551558514831372e-12,9.094947017729282e-13,1.0672524085170852e-10,5.684341886080802e-14,4.718003765447065e-12,9.094947017729282e-13
inf,4,0,False,False,False,1.0,6.240651503691576e-11,5.149351787847944e-13,1.5234142305482005e-12,0.0,6.08155515791621e-11,6.679101716144942e-13,3.784252152648432e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,7.281071724583102e-11,4.369837824924616e-13,5.189355850323751e-12,4.547473508864641e-13,5.845759065861076e-11,6.750155989720952e-14,3.399692685503778e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2.8031365921551225e-10,3.979039320256561e-13,5.670967949765431e-12,0.0,2.8881433508477354e-10,3.836930773104541e-13,7.993931041358136e-12,0.0
inf,4,0,False,False,False,1.0,9.094947017729282e-13,2.842170943040401e-14,8.459983322974729e-12,4.547473508864641e-13,0.0,3.126388037344441e-13,2.160236893548684e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,0.0,4.856703836433968e-13,4.723479471645584e-12,0.0,0.0,5.217532290852722e-13,6.655840067557432e-12,0.0
inf,4,0,False,False,False,1.0,0.0,0.0,9.99931319321053e-12,0.0,0.0,4.856703836433968e-13,1.4779288903810084e-12,9.094947017729282e-13
inf,4,0,False,False,False,1.0,0.0,5.684341886080801e-13,2.0534562131829764e-12,4.547473508864641e-13,0.0,3.979039320256561e-13,1.8182276310400424e-11,0.0
inf,4,0,False,False,False,1.0,1.016845989170083e-12,7.958078640513122e-13,1.6235439730512952e-11,0.0,0.0,1.1368683772161603e-13,6.367477892554437e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,0.0,3.410605131648481e-13,1.6466940959162372e-11,9.094947017729282e-13,0.0,3.410605131648481e-13,1.4069750940079367e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,0.0,1.7053025658242404e-13,3.631689508336207e-11,4.547473508864641e-13,0.0,1.7053025658242404e-13,2.3097811084101204e-11,1.2862197421537486e-12
inf,4,0,False,False,False,1.0,0.0,1.1368683772161603e-13,4.183938211795695e-11,0.0,0.0,5.084229945850415e-13,2.3810336904437097e-11,0.0
inf,4,0,False,False,False,1.0,1.4459318277714475e-09,4.547473508864641e-13,4.085681775053485e-11,4.547473508864641e-13,1.4107579214143056e-09,2.2737367544323206e-13,2.081501684825305e-11,0.0
inf,4,0,False,False,False,1.0,9.158802440055498e-10,2.2737367544323206e-13,5.4034894723016344e-11,9.094947017729282e-13,8.614648165561957e-10,2.2737367544323206e-13,1.6579579527509977e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,5.419764321098109e-10,0.0,1.1177840259827878e-10,0.0,5.556000332033842e-10,0.0,6.11674278750626e-11,0.0
inf,4,0,False,False,False,1.0,3.605501301433458e-10,1.1368683772161603e-13,1.6126734395377983e-10,0.0,4.1902346657789447e-10,4.547473508864641e-13,4.689192231763319e-10,9.374856803373542e-13
inf,4,0,False,False,False,1.0,4.3174854417826344e-10,2.2737367544323206e-13,6.933210696521896e-10,4.547473508864641e-13,4.228076925471564e-10,2.2737367544323206e-13,4.928664152768325e-10,1.016845989170083e-12
inf,4,0,False,False,False,1.0,6.69363539990173e-10,2.2737367544323206e-13,1.0659834093057653e-09,2.2737367544323206e-13,6.770630668483918e-10,3.410605131648481e-13,1.389748286776979e-09,1.1368683772161603e-12
inf,4,0,False,False,False,1.0,0.0,1.1368683772161603e-13,9.528693348238568e-13,2.2737367544323206e-13,0.0,1.1368683772161603e-13,0.0,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,0.0,5.084229945850415e-13,1.1368683772161603e-13,4.547473508864641e-13,0.0,0.0,2.2737367544323206e-13,0.0
inf,4,0,False,False,False,1.0,1.016845989170083e-12,3.410605131648481e-13,1.1368683772161603e-13,2.2737367544323206e-13,9.094947017729282e-13,4.0990372275064023e-13,1.1368683772161603e-13,0.0
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,3.2155493553843715e-13,0.0,0.0,2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,3.2155493553843715e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,2.5421149729252077e-13,5.684341886080801e-13,0.0
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,3.410605131648481e-13,2.2737367544323206e-13,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13,0.0
inf,4,0,False,False,False,1.0,9.094947017729282e-13,2.2737367544323206e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,3.2155493553843715e-13,1.1368683772161603e-13,0.0,0.0,3.2155493553843715e-13,2.2737367544323206e-13,0.0
inf,4,0,False,False,False,1.0,0.0,3.2155493553843715e-13,1.1368683772161603e-13,9.094947017729282e-13,2.2737367544323206e-13,3.2155493553843715e-13,2.2737367544323206e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,3.2155493553843715e-13,3.410605131648481e-13,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13,0.0
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,9.374856803373542e-13,5.084229945850415e-13,1.639614891002561e-12,2.2737367544323206e-13,2.2737367544323206e-13,3.2155493553843715e-13,1.639614891002561e-12,0.0
inf,4,0,False,False,False,1.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,3.410605131648481e-13,2.2737367544323206e-13,2.2737367544323206e-13,1.1368683772161603e-13,3.410605131648481e-13
inf,4,0,False,False,False,1.0,9.374856803373542e-13,3.2155493553843715e-13,2.4933470057773444e-12,1.1368683772161603e-13,1.016845989170083e-12,5.084229945850415e-13,2.823922465807805e-12,1.1368683772161603e-13
inf,4,0,False,False,False,1.0,2.2737367544323206e-13,2.2737367544323206e-13,1.9426815345735873e-12,1.1368683772161603e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.73085155401175e-12,9.165725883006586e-13
inf,3,0,False,False,False,1.0,0.0,0.0,6.994281836919992e-12,,2.2737367544323206e-13,0.0,5.616866168127501e-12,
inf,3,0,False,False,False,1.0,9.094947017729282e-13,5.084229945850415e-13,1.5828621314696658e-11,,2.2737367544323206e-13,2.2737367544323206e-13,1.4679695986877074e-11,
inf,3,0,False,False,False,1.0,0.0,4.547473508864641e-13,1.7823833875141655e-11,,2.2737367544323206e-13,0.0,2.0378821513765326e-11,
inf,3,0,False,False,False,1.0,2.2737367544323206e-13,2.2737367544323206e-13,5.369100888181653e-11,,0.0,2.2737367544323206e-13,4.231838874741458e-11,
inf,3,0,False,False,False,1.0,0.0,3.2155493553843715e-13,8.210173452305757e-11,,1.016845989170083e-12,3.2155493553843715e-13,1.0076329368117742e-10,
